 STOCKS VALORIZADOS POR ALMACEN - LINEAS 


*OPEN COMB SYSTEMS

**MARKET

COD. LINEA,LINEA,COD. PRODUCTO,PRODUCTO,COD. UNIDAD,STOCK-TOTAL,COSTO,VALOR-TOTAL
000027,LAVADO,000000000SL04 ,SERVICIO DE LAVADO ,01 ,-11.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL05 ,SERVICIO DE LAVADO ,01 ,-1.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL06 ,SERVICO DE LAVADO ,01 ,-9.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL07 ,SERVICIO DE LAVADO ,01 ,-2.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL08 ,SERVICIO DE LAVADO ,01 ,-15.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL09 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL10 ,SERVICIO DE LAVADO ,01 ,-3.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL11 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL12 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL13 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL14 ,SERVICIO DE LAVADO ,01 ,-3.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL15 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL16 ,SERVICIO DE LAVADO ,01 ,-5.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL17 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL18 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL19 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
